Posizione	Nome utente	Risposte date	Punteggio	Datetime
1	motobi	35	626879.322	2014-04-02T00:00:05.145768
2	androloandrolo	35	626877.828	2014-04-02T00:00:05.145768
3	axpgn	35	626854.187	2014-04-02T00:00:05.145768
4	lucazaga	35	626768.619	2014-04-02T00:00:05.145768
5	silrossi	35	626765.983	2014-04-02T00:00:05.145768
6	snisna	35	626762.045	2014-04-02T00:00:05.145768
7	MateMirko	35	626670.628	2014-04-02T00:00:05.145768
8	gasachi	35	626670.032	2014-04-02T00:00:05.145768
9	casko95	35	626654.345	2014-04-02T00:00:05.145768
10	baol	35	626630.106	2014-04-02T00:00:05.145768
11	tinoceck	35	626620.284	2014-04-02T00:00:05.145768
12	carlogia77	35	626616.538	2014-04-02T00:00:05.145768
13	Bis	35	626564.63	2014-04-02T00:00:05.145768
14	roby01	35	626508.899	2014-04-02T00:00:05.145768
15	piopazienza	35	626499.69	2014-04-02T00:00:05.145768
16	Ben Grimm	35	626480.821	2014-04-02T00:00:05.145768
17	EISguys	35	626443.902	2014-04-02T00:00:05.145768
18	Silvia-Ruf	35	626371.042	2014-04-02T00:00:05.145768
19	pannella	35	626359.112	2014-04-02T00:00:05.145768
20	KENNY	35	626302.35	2014-04-02T00:00:05.145768
21	arukadia	35	626290.206	2014-04-02T00:00:05.145768
22	Frasso	35	626282.172	2014-04-02T00:00:05.145768
23	bart simpson	35	626227.339	2014-04-02T00:00:05.145768
24	jolampo	35	626150.832	2014-04-02T00:00:05.145768
25	SteGraz	35	626147.752	2014-04-02T00:00:05.145768
26	ibra77	35	626138.908	2014-04-02T00:00:05.145768
27	frank83	35	626127.736	2014-04-02T00:00:05.145768
28	KikkaSmile	35	626104.427	2014-04-02T00:00:05.145768
29	tordella	35	626079.088	2014-04-02T00:00:05.145768
30	plama	35	626017.477	2014-04-02T00:00:05.145768
31	Zelda89	35	625954.44	2014-04-02T00:00:05.145768
32	margis	35	625939.988	2014-04-02T00:00:05.145768
33	Moncino	35	625928.004	2014-04-02T00:00:05.145768
34	Montemaggi	35	625921.788	2014-04-02T00:00:05.145768
35	deniseg	35	625911.862	2014-04-02T00:00:05.145768
36	lzmkp6	35	625909.156	2014-04-02T00:00:05.145768
37	nordico48	35	625904.616	2014-04-02T00:00:05.145768
38	tchandra	35	625892.097	2014-04-02T00:00:05.145768
